Horizon,Concrete_Time_Mean,Concrete_Time_Std,Concrete_Volume_Mean,Concrete_Volume_Std,Symbolic_Time_Mean,Symbolic_Time_Std,Symbolic_Volume_Mean,Symbolic_Volume_Std,Speedup
2,0.016678810119628906,0.012107350459474836,0.37149963,2.9802322e-08,0.01763794422149658,0.0002177355751545306,0.3606698,0.0,0.945620981117589
3,0.01895439624786377,1.3793395705846603e-05,0.46213564,0.0,0.03435959815979004,0.0003030809799302297,0.41580692,0.0,0.5516477858593092
4,0.025268244743347167,4.992601749437026e-05,0.55222374,0.0,0.05677549839019776,0.0005756344821397552,0.41677848,0.0,0.4450554457432946
5,0.031589174270629884,0.0001098612633658902,0.62656647,0.0,0.0847956657409668,0.0009395629107009643,0.34565666,0.0,0.3725328882625708
6,0.03797218799591064,3.295052584582945e-05,0.6868816,0.0,0.11861317157745362,0.0010548069123897535,0.24468522,1.4901161e-08,0.3201346654078384
7,0.04446532726287842,0.00045388605291290406,0.7391953,0.0,0.1600287914276123,0.004042352620560428,0.18005416,0.0,0.27785829578668
8,0.05067181587219238,8.248069982727227e-05,0.79237515,0.0,0.20405871868133546,0.0014749340803379633,0.19914052,1.4901161e-08,0.24831977873644837
9,0.05721747875213623,0.0007845306156077618,0.8635889,5.9604645e-08,0.256044340133667,0.0018417830630798751,0.21171136,1.4901161e-08,0.22346707106380895
10,0.06323292255401611,0.0001162067636481438,0.9611882,5.9604645e-08,0.32535567283630373,0.03546296809871518,0.21374473,0.0,0.1943501461117308
11,0.070021653175354,0.0013114005244834262,1.0757,1.1920929e-07,0.3764569997787476,0.0026971960205832454,0.20363775,0.0,0.1860017298562846
12,0.07611839771270752,0.00032670679887382876,1.2254318,1.1920929e-07,0.4495577812194824,0.0041190318649565565,0.18573661,1.4901161e-08,0.16931838551704462
13,0.0826488971710205,0.00012414234484323385,1.4218729,1.1920929e-07,0.522478985786438,0.0044596009113221195,0.16333462,0.0,0.15818606952510628
14,0.10475373268127441,0.0070084440041175596,1.6918312,0.0,0.5933256626129151,0.003774877685367275,0.14031525,1.4901161e-08,0.17655351737181746
15,0.09459965229034424,0.0005640215878916615,2.0641313,0.0,0.6904024362564087,0.03819374700674718,0.120147504,7.450581e-09,0.13702102907297803
16,0.10055036544799804,0.00030365914990849915,2.5785747,0.0,0.7843235969543457,0.04267179917123857,0.10283399,0.0,0.12820010240473606
17,0.10699810981750488,0.00024097559646900832,3.290559,0.0,0.8802583456039429,0.038086399195509824,0.09110345,0.0,0.12155307626659735
18,0.11396384239196777,0.0014147659725054086,4.26247,0.0,0.9828875303268433,0.03911974459630794,0.07817816,0.0,0.11594799900866679
19,0.12078733444213867,0.0012104564457750744,5.509429,4.7683716e-07,1.092190432548523,0.044219524065306805,0.065143414,0.0,0.11059182615278258
20,0.12612395286560057,0.00015895003153991566,7.2022643,4.7683716e-07,1.2058454036712647,0.04052874673158793,0.051466577,0.0,0.10459379990304649
