Horizon,Concrete_Time_Mean,Concrete_Time_Std,Concrete_Volume_Mean,Concrete_Volume_Std,Symbolic_Time_Mean,Symbolic_Time_Std,Symbolic_Volume_Mean,Symbolic_Volume_Std,Speedup
2,0.028966212272644044,0.012220294821615345,0.0041203694,4.656613e-10,0.05182638168334961,0.00018041990081374998,0.0038496547,2.3283064e-10,0.5589086355598328
3,0.0374713659286499,8.83083267344151e-05,0.004568585,4.656613e-10,0.1233400583267212,0.00032315907243764264,0.003717497,0.0,0.3038053203233475
4,0.050057387351989745,7.040395681010293e-05,0.0043585305,0.0,0.22758214473724364,0.0009525065189194446,0.0027545558,0.0,0.21995305215962266
5,0.06265006065368653,0.00011702535943407434,0.004671526,0.0,0.3636387825012207,0.0026739726259387454,0.0022055656,0.0,0.17228652076865925
6,0.07584691047668457,3.479571933970709e-05,0.004319503,0.0,0.53274085521698,0.003539638433753115,0.0015289749,1.1641532e-10,0.14237111671451008
7,0.08804242610931397,0.00012384439834743657,0.0048914133,0.0,0.733671760559082,0.006367589932521574,0.001202029,1.1641532e-10,0.12000247364328531
8,0.10106501579284669,0.00011210776242510614,0.0062923343,4.656613e-10,0.9808428049087524,0.042401511118280784,0.001654819,1.1641532e-10,0.10303895311975984
9,0.11397192478179932,0.00012040716336790541,0.008557862,0.0,1.2486761808395386,0.04573555415675324,0.0024788713,0.0,0.09127420425780133
10,0.1273038387298584,0.0002314145555049141,0.014323299,9.313226e-10,1.5505187034606933,0.04832232737755412,0.0038443387,2.3283064e-10,0.08210403295730746
11,0.13969435691833496,0.0004789665859277986,0.021809567,0.0,1.8994058132171632,0.06988623582350435,0.0044666966,4.656613e-10,0.07354634588683519
12,0.1579277992248535,0.01098244552646799,0.029482704,1.8626451e-09,2.1765429019927978,0.07044193644444989,0.0036147474,2.3283064e-10,0.07255901047494082
13,0.15951387882232665,0.00019440224770100957,0.03903227,3.7252903e-09,2.5599075317382813,0.05441281875399609,0.0031383554,2.3283064e-10,0.06231235966324543
14,0.17227094173431395,0.00013170273600892634,0.053846944,3.7252903e-09,2.9970715999603272,0.07036908380923897,0.0029508586,0.0,0.05747975515052571
15,0.18511459827423096,0.00034516458801897663,0.08203434,0.0,3.445826697349548,0.07589764645359946,0.0029511596,0.0,0.053721389533785004
16,0.1995093584060669,0.004022025499022391,0.13206962,0.0,3.93417112827301,0.13894136631211992,0.003171061,0.0,0.05071191666582279
17,0.20910115242004396,0.0001234667042323376,0.22704032,1.4901161e-08,4.45212676525116,0.15455228988015152,0.00325916,2.3283064e-10,0.04696657652519645
18,0.2226536512374878,0.00018677929543894215,0.4491362,0.0,5.013873529434204,0.0994197059970688,0.003797813,2.3283064e-10,0.04440751246125137
19,0.2363154411315918,0.0003074279176398092,0.97412,5.9604645e-08,5.6151926755905155,0.11786366700747207,0.0041665575,4.656613e-10,0.04208501021859236
20,0.2469550609588623,0.0002895717109774255,2.4767883,2.3841858e-07,6.236606192588806,0.12634669957899208,0.004453271,0.0,0.03959766791950537
