Horizon,Method,Trial,Time,Volume,Num_Steps
2,Concrete,0,0.06562137603759766,0.00412037,
2,Concrete,1,0.02488875389099121,0.00412037,
2,Concrete,2,0.024749755859375,0.00412037,
2,Concrete,3,0.02481698989868164,0.00412037,
2,Concrete,4,0.02481818199157715,0.00412037,
2,Concrete,5,0.02485513687133789,0.00412037,
2,Concrete,6,0.024863719940185547,0.00412037,
2,Concrete,7,0.025519371032714844,0.00412037,
2,Concrete,8,0.024821043014526367,0.00412037,
2,Concrete,9,0.024707794189453125,0.00412037,
3,Concrete,0,0.03744697570800781,0.0045685857,
3,Concrete,1,0.037393808364868164,0.0045685857,
3,Concrete,2,0.03744673728942871,0.0045685857,
3,Concrete,3,0.037474870681762695,0.0045685857,
3,Concrete,4,0.037717342376708984,0.0045685857,
3,Concrete,5,0.0374910831451416,0.0045685857,
3,Concrete,6,0.03743577003479004,0.0045685857,
3,Concrete,7,0.03746438026428223,0.0045685857,
3,Concrete,8,0.03746342658996582,0.0045685857,
3,Concrete,9,0.03737926483154297,0.0045685857,
4,Concrete,0,0.050238609313964844,0.0043585305,
4,Concrete,1,0.05005478858947754,0.0043585305,
4,Concrete,2,0.05008816719055176,0.0043585305,
4,Concrete,3,0.04998660087585449,0.0043585305,
4,Concrete,4,0.050031423568725586,0.0043585305,
4,Concrete,5,0.0500490665435791,0.0043585305,
4,Concrete,6,0.05006909370422363,0.0043585305,
4,Concrete,7,0.05002737045288086,0.0043585305,
4,Concrete,8,0.04996299743652344,0.0043585305,
4,Concrete,9,0.05006575584411621,0.0043585305,
5,Concrete,0,0.0626974105834961,0.004671526,
5,Concrete,1,0.06255817413330078,0.004671526,
5,Concrete,2,0.06259441375732422,0.004671526,
5,Concrete,3,0.0628819465637207,0.004671526,
5,Concrete,4,0.06254291534423828,0.004671526,
5,Concrete,5,0.06251788139343262,0.004671526,
5,Concrete,6,0.0625300407409668,0.004671526,
5,Concrete,7,0.06273436546325684,0.004671526,
5,Concrete,8,0.06265592575073242,0.004671526,
5,Concrete,9,0.06278753280639648,0.004671526,
6,Concrete,0,0.07589840888977051,0.004319503,
6,Concrete,1,0.07589936256408691,0.004319503,
6,Concrete,2,0.07585501670837402,0.004319503,
6,Concrete,3,0.07581329345703125,0.004319503,
6,Concrete,4,0.0758054256439209,0.004319503,
6,Concrete,5,0.0758371353149414,0.004319503,
6,Concrete,6,0.07586836814880371,0.004319503,
6,Concrete,7,0.07580184936523438,0.004319503,
6,Concrete,8,0.07586956024169922,0.004319503,
6,Concrete,9,0.0758206844329834,0.004319503,
7,Concrete,0,0.0883035659790039,0.0048914133,
7,Concrete,1,0.08788609504699707,0.0048914133,
7,Concrete,2,0.08786821365356445,0.0048914133,
7,Concrete,3,0.08799624443054199,0.0048914133,
7,Concrete,4,0.08808112144470215,0.0048914133,
