timestep,steps_from_origin,ratio_mean,ratio_std,ratio_min,ratio_max,concrete_vol_mean,sampled_vol_mean,concrete_vol_std,sampled_vol_std,spread_mean,spread_std,convergence_mean,convergence_std
4,1,1.0503912223123115,0.03448251015981034,1.0200704474881421,1.1145534268858908,0.032108106,0.030619639147145244,0.0030446532,0.0032962596196212364,0.1766081958782104,0.008436424651766522,0.0,0.0
5,2,1.1791871773928935,0.03306931057134858,1.1270847945881217,1.2226586197907,0.03327074,0.028189700436614024,0.005402855,0.0043703997546264,0.1737188813656398,0.011372332779370262,-0.017088628802832864,0.02112257562119132
6,3,1.387343592324259,0.032781967688732774,1.3217936871225209,1.4515270281158628,0.03302587,0.023824666610248343,0.004922251,0.003667455035555154,0.16596867009443173,0.011207695713707715,-0.044738905063230305,0.00296343254960599
7,4,1.7512368407353036,0.03816637336724072,1.658385163698724,1.8320798152193087,0.033832826,0.019348133697736088,0.0044951714,0.0027729025707003757,0.15625262122721345,0.010762959651676342,-0.05862509089550921,0.0021758379784067665
8,5,2.335947104529011,0.03787490771660599,2.243787852422564,2.404198786206761,0.035817116,0.015341014664562887,0.0042256443,0.0018751023469443016,0.1455373852347807,0.010026822557252473,-0.06857655201696954,0.0022637659523951277
9,6,3.091934853630699,0.12600078967880732,2.9283309683882104,3.275475190615134,0.03894467,0.0125610950067052,0.004360105,0.0009136957671028086,0.13579613894535908,0.008608733295711754,-0.0665895463326491,0.005441603933638196
10,7,3.157653576896789,0.06255253529681924,3.067609027655298,3.301914970479581,0.04288927,0.01357944827614839,0.00490228,0.00150618733243245,0.13384137844162497,0.00967734329627813,-0.01494015464146175,0.009012567230710086
11,8,3.4821078521636304,0.1331875699942376,3.2749904715578153,3.7785186320060404,0.04718253,0.013604149519246659,0.0060066585,0.002074415519144408,0.1293198808176713,0.010793328120785895,-0.034539570925033944,0.010671204809416334
12,9,4.074350211198151,0.2080839759071567,3.7589811933383057,4.511390521481503,0.05163111,0.012752519651411753,0.0070987013,0.0022012966116176764,0.12256375231816334,0.010977330823428956,-0.05270425361802925,0.00596710629966314
13,10,4.953125193394244,0.2901278402003986,4.514824184064412,5.536577085474038,0.056375913,0.011469284099733102,0.007930714,0.0020737529953330047,0.11459755044870076,0.010595381918406699,-0.06522510795740703,0.0034205277458246126
14,11,6.196287920224645,0.40205232954288045,5.548566736840125,7.015131434727869,0.06171816,0.010053260246691145,0.008590282,0.0018752084311819768,0.10614899153564965,0.0100455955784721,-0.07389965294175245,0.002730423981666816
15,12,7.959382668060752,0.5742957002712413,6.972593059616196,9.03380225610966,0.06820786,0.00866968292274982,0.008663072,0.001627018894330837,0.09769520449623242,0.009310460503806363,-0.07968134508040067,0.004451341290725734
